序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
284,BV1pV411E74v,【主义主义】学哲学必须绕开的陷阱：反形而上学（2-4）嘴巴上不承认自己是形而上学的形而上学,2021-05-13,83078,34:21,人文历史,,https://www.bilibili.com/video/BV1pV411E74v
285,BV12f4y1a7ZV,【主义主义】经验主义（2-4-1）——霍布斯的极简形而上学：利维坦和契约论的哲学基础,2021-05-14,37439,38:12,人文历史,,https://www.bilibili.com/video/BV12f4y1a7ZV
288,BV1Sp4y147je,【主义主义】我思形而上学复习课（2-3）：现代哲学的开胃菜，康德的四位先驱,2021-05-14,27976,30:58,人文历史,,https://www.bilibili.com/video/BV1Sp4y147je
289,BV1V54y1L7sy,【主义主义】乐于接受的小体主义（2-4-1-1）——波义耳、聪明而怯懦者的形而上学,2021-05-16,26918,48:04,人文历史,,https://www.bilibili.com/video/BV1V54y1L7sy
290,BV1NQ4y1o7iH,【主义主义】“心灵是一块白板”绝大多数人都理解错了！洛克：观念论运动与先验哲学的伟大先驱——经验的观念论（2-4-1-2）,2021-05-17,37804,41:02,人文历史,,https://www.bilibili.com/video/BV1NQ4y1o7iH
291,BV1X5411u79k,【主义主义】“存在即被感知”到底是什么意思？贝克莱真的不是“主观唯心主义”：理念-精神二元论（2-4-1-3）,2021-05-18,42678,58:23,人文历史,,https://www.bilibili.com/video/BV1X5411u79k
292,BV11Q4y1o7EY,【主义主义】人类有限主义（2-4-1-4）——休谟的偷天换日计划，远不止经验主义怀疑论,2021-05-19,55264,47:46,人文历史,,https://www.bilibili.com/video/BV11Q4y1o7EY
293,BV1o5411u7B4,【主义主义】实证主义（2-4-2）——为人性筑起圣坛，科学哲学、社会学创始人孔德的形而上学,2021-05-19,124490,31:34,人文历史,,https://www.bilibili.com/video/BV1o5411u7B4
296,BV1EV411j7Nc,【主义主义】自然主义的观念论（2-4-2-1）——经典布尔乔亚形而上学：约翰·穆勒的本体论、认识论与道德论,2021-05-21,28290,68:08,人文历史,,https://www.bilibili.com/video/BV1EV411j7Nc
297,BV195411u7W8,【主义主义】社会实证主义（2-4-2-2）——现代社会学的形而上学背景是谁干的？涂尔干的局限与失败,2021-05-21,30757,94:10,人文历史,,https://www.bilibili.com/video/BV195411u7W8
298,BV1iy4y1W7sg,【主义主义】自然神论的实证主义（2-4-2-3）——斯宾塞的绅士哲学，绝非社会达尔文主义，亦非安那其先驱,2021-05-23,26811,51:39,人文历史,,https://www.bilibili.com/video/BV1iy4y1W7sg
299,BV1Rv41157bZ,【主义主义】科学的实证主义（2-4-2-4）——马赫的蛇皮哲学，蕴含着巨大的危险，被逻辑实证主义误解，也算是因祸得福,2021-05-23,29878,47:53,人文历史,,https://www.bilibili.com/video/BV1Rv41157bZ
300,BV19h411Y7bv,【主义主义】致分哲小将2.0——为什么分析哲学不应该继续叫做分析哲学，为什么分析哲学不应该做逻辑实证主义的护教学：已然失败的逻辑实证主义（2-4-3）,2021-05-24,75449,111:57,人文历史,,https://www.bilibili.com/video/BV19h411Y7bv
301,BV18V41177Fh,【主义主义】相对语法主义（2-4-3-1）——维也纳学派创始人&逻辑实证主义运动发起人之一，石里克用逻辑语法建造的乖宝宝形而上学,2021-05-26,18982,52:29,人文历史,,https://www.bilibili.com/video/BV18V41177Fh
303,BV1SA411g7hT,【主义主义】逻辑还原主义（2-4-3-2）——卡尔纳普在美国安身立命的吃饭家伙,2021-05-27,21142,52:53,人文历史,,https://www.bilibili.com/video/BV1SA411g7hT
306,BV1yA411g7aY,【主义主义】逻辑行为主义（2-4-3-3）——日常语言学派是如何继续逻辑实证主义的勾当的,2021-05-28,18359,31:18,人文历史,,https://www.bilibili.com/video/BV1yA411g7aY
307,BV1sK4y1R7fu,【主义主义】逻辑反实在论（2-4-3-4）——整个实证主义计划，被一个好人埋葬，古德曼（Goodman）的多重版本-世界理论,2021-05-28,16670,31:17,人文历史,,https://www.bilibili.com/video/BV1sK4y1R7fu
308,BV1A5411g7Rh,【主义主义】实用主义（2-4-4）——杜威哲学的形而上学预设,2021-05-29,44500,35:52,人文历史,,https://www.bilibili.com/video/BV1A5411g7Rh
309,BV1bK4y1R7so,【主义主义】逻辑实用主义（2-4-4-1）——如何在学术界风生水起名利双收？奎因的小聪明形而上学,2021-05-31,27863,51:20,人文历史,,https://www.bilibili.com/video/BV1bK4y1R7so
310,BV1SN411Z7Ru,【主义主义】原来“形而上学”才是真正的辩证法：论辩证法的片面、静止、只有量变和二元对立——正统辩证唯物主义（2-4-4-2）,2021-05-31,207364,65:50,人文历史,,https://www.bilibili.com/video/BV1SN411Z7Ru
311,BV1Vb4y1Z7Vx,【主义主义】何为语言：符号实用主义（2-4-4-3）：只要会说话就一定会掌握的一门形而上学；共同体在现代化中必然采取的符号学策略,2021-06-01,57349,76:21,人文历史,,https://www.bilibili.com/video/BV1Vb4y1Z7Vx
312,BV1wq4y177u6,【主义主义】揭秘禅宗的奥秘，参话头技术指南，前现代的分析师话语：生存实用主义（2-4-4-4）——Language背后的Lalangue机制,2021-06-03,112028,63:48,人文历史,,https://www.bilibili.com/video/BV1wq4y177u6
313,BV1fB4y1u7jY,【主义主义】自以为是“鹤立鸡群”的哲学：一元论诺斯替主义（1-2-1-3）——看华伦提诺是如何剑走偏锋另辟蹊径却终究功亏一篑的,2021-06-04,76671,30:54,人文历史,,https://www.bilibili.com/video/BV1fB4y1u7jY
314,BV1TU4y1j7U4,【主义主义】市井小民幻想大人物“微服私访”之后会体恤民情的哲学：模态位格一元论（1-2-1-4）,2021-06-04,61442,38:12,人文历史,,https://www.bilibili.com/video/BV1TU4y1j7U4
315,BV1py4y137ag,【主义主义】偶像崇拜（1-2-2）——崇拜偶像的符号学机制：为什么脑残粉相比自恋狂是一种进步，为什么崇拜者归根结底是在逃避自己,2021-06-06,131370,45:01,人文历史,,https://www.bilibili.com/video/BV1py4y137ag
316,BV1dU4y1L7n8,【主义主义】传殖主义（1-2-2-1）——祖先和血脉崇拜背后的意识形态机制,2021-06-07,60239,50:33,人文历史,,https://www.bilibili.com/video/BV1dU4y1L7n8
317,BV17q4y177QH,【主义主义】奇美拉、龙、麒麟、三头六臂……缝合怪崇拜的起源及背后的符号学机制：部分主义（1-2-2-2）,2021-06-08,40195,52:37,人文历史,,https://www.bilibili.com/video/BV17q4y177QH
318,BV1Hg411G7C3,【主义主义】拜物教（1-2-2-3）——读懂资本论的必修课：物神崇拜的符号学功能；偶像崇拜的第三种形式,2021-06-09,114897,49:18,人文历史,,https://www.bilibili.com/video/BV1Hg411G7C3
319,BV1zw411Z74z,【主义主义】偶像崇拜的终极形式：时间崇拜（1-2-2-4）——论时间之神Aion、狄奥尼索斯与奥菲欧斯的三位一体，节庆、永恒、往生、死亡崇拜背后的意识形态机制,2021-06-09,58016,47:07,人文历史,,https://www.bilibili.com/video/BV1zw411Z74z
320,BV1T5411u7oo,【主义主义】唯灵论（1-2-3）——所谓“灵修”不过是人的好奇与自私所支撑的意识形态,2021-06-11,44915,57:23,人文历史,,https://www.bilibili.com/video/BV1T5411u7oo
321,BV1RK4y1X7HL,【主义主义】为什么追求永生或厌弃生命都是完全没有必要的——永生主义（1-2-3-1）,2021-06-11,123820,46:10,人文历史,,https://www.bilibili.com/video/BV1RK4y1X7HL
322,BV1sh411a7zu,【主义主义】回归式唯灵论（1-2-3-2）——中二病轻信小道消息，灵界异闻录炮制指南,2021-06-12,34524,27:49,人文历史,,https://www.bilibili.com/video/BV1sh411a7zu
324,BV1mw411Z7eX,【主义主义】魔法师主义（1-2-3-3）——为什么魔法归根结底是一种自恋的、倒错的癔症,2021-06-14,96289,68:30,人文历史,,https://www.bilibili.com/video/BV1mw411Z7eX
325,BV1zv411p71H,【主义主义】弃绝主义（1-2-3-4）解脱痛苦追求涅槃 意识的符号学机制,2021-06-15,49982,58:00,人文历史,,https://www.bilibili.com/video/BV1zv411p71H
326,BV1GM4y1u7jq,【主义主义】反偶像崇拜（1-2-4）——揭秘“信仰钢印”背后的意识形态机制,2021-06-16,62971,42:06,人文历史,,https://www.bilibili.com/video/BV1GM4y1u7jq
327,BV1uM4y1u7EL,【主义主义】作为信仰的命定论（1-2-4-1）——如何用哲学理解祥林嫂？,2021-06-16,37277,40:26,人文历史,,https://www.bilibili.com/video/BV1uM4y1u7EL
328,BV1iU4y1573U,【主义主义】尼采因何而疯？最危险、最廉价的意识形态，意识产生之前的人格化的符号学机制：救世主义（1-2-4-2）,2021-06-18,169390,48:16,人文历史,,https://www.bilibili.com/video/BV1iU4y1573U
329,BV1G64y1d7KW,【主义主义】神智论（1-2-4-3）——连线大他者的远程协助,2021-06-18,34895,56:43,人文历史,,https://www.bilibili.com/video/BV1G64y1d7KW
330,BV1eK4y1u7qT,【主义主义】神圣的爱（1-2-4-4）——永不失败的“爱情”：对大他者的一厢情愿,2021-06-20,93997,49:56,人文历史,,https://www.bilibili.com/video/BV1eK4y1u7qT
331,BV1g5411T7Bc,【主义主义】观念论（3）——作为一个现代人，该怎样思考哲学,2021-06-21,185796,63:28,人文历史,,https://www.bilibili.com/video/BV1g5411T7Bc
332,BV1KK4y1g7TA,【主义主义】现象学（3-1）——胡塞尔和他的事业、拥趸、敌人,2021-06-22,143906,51:38,人文历史,,https://www.bilibili.com/video/BV1KK4y1g7TA
335,BV1uv411H7no,【主义主义】先验现象学（3-1-1）——胡塞尔的先验哲学计划,2021-06-23,142668,49:32,人文历史,,https://www.bilibili.com/video/BV1uv411H7no
337,BV115411T7GZ,【主义主义】先验直觉主义（3-1-1-1）——胡塞尔给所有意识普发的完整知识权，比经验主义更经验主义，比直觉主义更直觉主义，比先验主义更先验主义,2021-06-24,52085,45:04,人文历史,,https://www.bilibili.com/video/BV115411T7GZ
340,BV1zB4y1K7m9,【主义主义复习课】四种自以为“超越”的形而下学（1-2）,2021-06-25,59908,22:03,人文历史,,https://www.bilibili.com/video/BV1zB4y1K7m9
343,BV17V411x7mG,【主义主义】先验本质主义（3-1-1-2）——先验现象学认识论化、体系化、科学化的前提,2021-06-26,37580,27:50,人文历史,,https://www.bilibili.com/video/BV17V411x7mG
344,BV1uK4y1g7HL,【主义主义】反思性的主体主义（3-1-1-3）——胡塞尔现象学之枢纽，以及为什么胡塞尔的现象学不是一种庸俗的唯我论,2021-06-27,37802,67:24,人文历史,,https://www.bilibili.com/video/BV1uK4y1g7HL
345,BV1S5411T76u,【主义主义】准先验辩证主义（3-1-1-4）——大二时期的德里达如何挽救胡塞尔先验现象学的遗产,2021-06-28,36563,69:47,人文历史,,https://www.bilibili.com/video/BV1S5411T76u
347,BV1n5411T7Dm,【主义主义】实事现象学（3-1-2）——令现象学从哲学史走入历史，屈居二号人物的天才，舍勒,2021-06-28,32711,51:38,人文历史,,https://www.bilibili.com/video/BV1n5411T7Dm
350,BV1X64y197yk,【主义主义】如何在现象学思考中安宁地抵达彼岸：媒介性的客观主义（3-1-2-1）,2021-06-29,29273,25:08,人文历史,,https://www.bilibili.com/video/BV1X64y197yk
351,BV1e64y1b7Nc,【主义主义】本质心理主义（3-1-2-2）——心病只用心药医的本质现象学，拒斥彻底而狂妄的先验主体性,2021-07-01,31709,21:13,人文历史,,https://www.bilibili.com/video/BV1e64y1b7Nc
352,BV1gw411Z7TE,【主义主义】现象学的唯美主义（3-1-2-3）——给美学“撑腰”的现象学，来看看没背叛胡塞尔的海德格尔长什么样,2021-07-02,32372,29:04,人文历史,,https://www.bilibili.com/video/BV1gw411Z7TE
353,BV1oy4y1M7ef,【主义主义】游戏的世界象征主义（3-1-2-4）——“我玩故我在”的哲学,2021-07-02,40989,28:31,人文历史,,https://www.bilibili.com/video/BV1oy4y1M7ef
354,BV1kh411h7NN,【主义主义】生活世界现象学（3-1-3）——用主体间性取代主体性,2021-07-04,33224,35:58,人文历史,,https://www.bilibili.com/video/BV1kh411h7NN
355,BV1W64y1Q7z8,【主义主义】主体间普遍主义（3-1-3-1）——哈贝马斯的去先验化路径,2021-07-04,36478,35:54,人文历史,,https://www.bilibili.com/video/BV1W64y1Q7z8
363,BV1Ho4y1X7cp,【主义主义】本土方法论（3-1-3-2）——加芬克尔的现象学社会学：人人都有一套自己的理性,2021-07-06,23545,25:12,人文历史,,https://www.bilibili.com/video/BV1Ho4y1X7cp
365,BV1Sg411u7fs,【主义主义】格式塔现象学（3-1-3-3）——古尔维奇对胡塞尔先验现象学的掐头行动,2021-07-07,29006,27:58,人文历史,,https://www.bilibili.com/video/BV1Sg411u7fs
366,BV1KB4y1N7SF,【现象学】胡塞尔、梅洛-庞蒂、海德格尔、萨特分别是如何建构他者性与主体间性的【主义主义】当代现象学的主流范式：自身性现象学（3-1-3-4）,2021-07-08,49435,35:29,人文历史,,https://www.bilibili.com/video/BV1KB4y1N7SF
367,BV11f4y1L7Sv,【主义主义】现世的现象学（3-1-4）——泰斗之背书：晚年狄尔泰重要的现象学“遗产”,2021-07-09,22179,37:38,人文历史,,https://www.bilibili.com/video/BV11f4y1L7Sv
370,BV1944y1q7jY,【主义主义】追问的现象学（3-1-4-1）——比《存在与时间》更真诚的早期海德格尔是怎样的？,2021-07-10,31797,53:28,人文历史,,https://www.bilibili.com/video/BV1944y1q7jY
371,BV1t64y147HL,【主义主义】爱抚的哲学：性化的现象学（3-1-4-2）——不正经的萨特VS正经的胡塞尔，做那事时总要看和摸的深层机制,2021-07-11,43849,54:15,人文历史,,https://www.bilibili.com/video/BV1t64y147HL
372,BV1Yv411J7xi,【主义主义】存在论的现象学（3-1-4-3）——最丰富的现象学：梅洛-庞蒂的格式塔-行动-身体-知觉-他者-视角-语言-世界-场-存在论现象学,2021-07-11,44601,46:24,人文历史,,https://www.bilibili.com/video/BV1Yv411J7xi
373,BV1Cg411T75n,【主义主义】现象学伦理主义（3-1-4-4）——列维纳斯的另类时间性与他者面孔学,2021-07-12,31773,52:25,人文历史,,https://www.bilibili.com/video/BV1Cg411T75n
374,BV1xL411H7sy,【主义主义】德国观念论（3-2）——人类哲学史最精华的部分,2021-07-14,110165,33:06,人文历史,,https://www.bilibili.com/video/BV1xL411H7sy
378,BV1og411T7tD,【主义主义】批判哲学（3-2-1）——以“判断”为枢纽的康德先验哲学计划,2021-07-14,44960,27:46,人文历史,,https://www.bilibili.com/video/BV1og411T7tD
380,BV1gX4y1A7XY,【主义主义】无限的有限主义（3-2-1-1） 道德刷刷刷游戏的肝中肝帝：康德哲学的基本态势,2021-07-15,38082,53:31,人文历史,,https://www.bilibili.com/video/BV1gX4y1A7XY
382,BV1154y1n7qC,【主义主义】先验经验主义（3-2-1-2）——劣版现象学、普发主体性、自称“前康德”的后康德主义：怀特海的过程哲学,2021-07-17,28897,45:37,人文历史,,https://www.bilibili.com/video/BV1154y1n7qC
383,BV1BB4y1N7bj,【主义主义】先验逻辑主义（3-2-1-3）——“回到康德去”，真正的、死硬的唯心主义,2021-07-18,31989,41:54,人文历史,,https://www.bilibili.com/video/BV1BB4y1N7bj
384,BV1p64y1X7Tn,【主义主义】符号形式主义（3-2-1-4）——民哲终结者：新康德主义的回光返照，卡西尔的泛隐喻主义符号哲学,2021-07-18,40371,55:26,人文历史,,https://www.bilibili.com/video/BV1p64y1X7Tn
385,BV1qU4y1n7iL,【主义主义】知识学（3-2-2）——“我在故我在！”，辩证法、现象学、和存在主义的三重先驱：费希特,2021-07-20,64014,41:49,人文历史,,https://www.bilibili.com/video/BV1qU4y1n7iL
386,BV1ZM4y1K7uM,【主义主义】理智直观主义（3-2-2-1）——从先验主体性退回绝对整体主义，晚年费希特，怂了,2021-07-21,25337,56:14,人文历史,,https://www.bilibili.com/video/BV1ZM4y1K7uM
387,BV1qv411n768,【主义主义】先验观念论（3-2-2-2）——不用再读康德了，读了谢林25岁写的这本书，直接上手观念论和辩证法吧,2021-07-22,167683,56:04,人文历史,,https://www.bilibili.com/video/BV1qv411n768
392,BV1cX4y1c71w,【主义主义】彻底的经验主义（3-2-2-3）——最聪明的实用主义者威廉·詹姆斯，其实是一个平行进化的费希特主义者,2021-07-23,37557,54:33,人文历史,,https://www.bilibili.com/video/BV1cX4y1c71w
393,BV1hq4y1H74z,【主义主义】唯我的实在论/现实主义（3-2-2-4）——早期维特根斯坦的《逻辑哲学论》是费希特先验唯我论迟到的讣告,2021-07-24,51145,50:21,人文历史,,https://www.bilibili.com/video/BV1hq4y1H74z
394,BV1aM4y1T7Mj,【主义主义】体系自由主义（3-2-3）——德国观念论的首个高峰，谢林思想的转折点：绝对者内在的不一致性,2021-07-25,44362,32:17,人文历史,,https://www.bilibili.com/video/BV1aM4y1T7Mj
395,BV1Gv411J7uV,【主义主义】时间-本体论（3-2-3-1）——谢林《世界时代》中的前本体论发生学，把握晚期海德格尔运思的前置关卡,2021-07-25,61109,45:53,人文历史,,https://www.bilibili.com/video/BV1Gv411J7uV
396,BV1CP4y1s7BM,【主义主义】加倍的德国观念论（3-2-3-2）——齐泽克心目中的世界图像：在德国观念论中塞入唯物主义,2021-07-27,49699,88:46,人文历史,,https://www.bilibili.com/video/BV1CP4y1s7BM
399,BV1W64y1x7mY,【主义主义复习课】现象学（3-1）的四种主要形态和具体十六种现象学,2021-07-28,39903,17:51,人文历史,,https://www.bilibili.com/video/BV1W64y1x7mY
400,BV1pg41177WJ,【主义主义】生存论的存在主义（3-2-3-3）——与晚期谢林心心相印的晚期海德格尔,2021-07-29,35474,50:24,人文历史,,https://www.bilibili.com/video/BV1pg41177WJ
403,BV1tM4y1T7FM,【主义主义】自身-辩证法（3-2-3-4）——早期黑格尔vs晚期谢林，来看看黑格尔辩证法未成熟时是怎样的,2021-07-30,62345,41:23,校园学习,,https://www.bilibili.com/video/BV1tM4y1T7FM
404,BV1xU4y1J7iL,【主义主义】辩证法（3-2-4）——黑格尔：走向绝对精神的历史走向,2021-07-31,290417,36:15,人文历史,,https://www.bilibili.com/video/BV1xU4y1J7iL
405,BV1qq4y1p7Hi,【主义主义】逻辑学（3-2-4-1）——黑格尔的逻辑学不仅仅是他的本体论，而且就是一切逻辑本身,2021-08-01,135909,66:24,人文历史,,https://www.bilibili.com/video/BV1qq4y1p7Hi
406,BV1Pf4y1V7X7,【主义主义】否定辩证法（3-2-4-2）——无调性哲学，阿多诺过于绝望地离散了,2021-08-02,59683,41:32,人文历史,,https://www.bilibili.com/video/BV1Pf4y1V7X7
407,BV1Sy4y157QZ,【主义主义】爱欲辩证法（3-2-4-3）——马尔库塞的背叛，从否定性的悲观主义走向盲目的爱欲躁动,2021-08-02,74213,32:18,人文历史,,https://www.bilibili.com/video/BV1Sy4y157QZ
408,BV1UQ4y1f7So,【主义主义】意识形态学（3-2-4-4）——“黑化”了的哲学：阿尔都塞的“超定”辩证法目前的主要功能,2021-08-04,94446,43:50,人文历史,,https://www.bilibili.com/video/BV1UQ4y1f7So
409,BV1n54y177ts,【主义主义】生存论（3-3）——温和布尔乔亚的激进反观念论,2021-08-04,72614,34:25,人文历史,,https://www.bilibili.com/video/BV1n54y177ts
410,BV1Mg411j745,【主义主义】存在（being而非existence）主义（3-3-1）——真正的存在论哲学家根本不是所谓的“存在主义者”,2021-08-05,116409,21:28,人文历史,,https://www.bilibili.com/video/BV1Mg411j745
411,BV1cb4y167Hi,【主义主义】海德格尔《存在与时间》中的领会与筹划——分环节的生存论的存在论（3-3-1-1）,2021-08-07,56933,55:33,人文历史,,https://www.bilibili.com/video/BV1cb4y167Hi
412,BV1Jf4y1V7QB,【主义主义】人道主义的存在主义（3-3-1-2）——萨特存在主义的基本结构,2021-08-08,93733,67:43,人文历史,,https://www.bilibili.com/video/BV1Jf4y1V7QB
414,BV1hy4y1L7BS,【主义主义】政治的理性主义（3-3-1-3）——梅洛庞蒂：看穿了《辩证法的历险》，却陷入了理性的狡计,2021-08-09,438241,43:58,人文历史,,https://www.bilibili.com/video/BV1hy4y1L7BS
416,BV1pv411K7oX,【主义主义复习课】回顾整个德国观念论运动（3-2）,2021-08-10,46235,44:43,人文历史,,https://www.bilibili.com/video/BV1pv411K7oX
417,BV1k44y1C7oy,【主义主义】前本体论（3-3-1-4）——《从本有而来》的海德格尔《对于哲学的贡献》 一次新探索？ 不，是成为新的世界体系构建之前的史前史,2021-08-11,45506,80:42,人文历史,,https://www.bilibili.com/video/BV1k44y1C7oy
418,BV1mM4y157rF,【主义主义】真正的生存主义（3-3-2）——以命代思、非此即彼的焚心以火者,2021-08-12,61358,38:43,校园学习,,https://www.bilibili.com/video/BV1mM4y157rF
419,BV1Gg411j7df,【主义主义】安放了的实存主义（3-3-2-1）——克尔凯廓尔的三个阶段与两种辩证法,2021-08-12,42818,85:20,校园学习,,https://www.bilibili.com/video/BV1Gg411j7df
420,BV12M4y157rK,【主义主义】诗性存在论（3-3-2-2）——以诗代思，荷尔德林的癫疯循环,2021-08-13,43206,57:35,校园学习,,https://www.bilibili.com/video/BV12M4y157rK
423,BV1jf4y137gM,【主义主义】神-人伦理学（3-3-2-3）——尼采笔下的“查拉图斯特拉”走入现实，是如何从生存论的深渊里幸存的,2021-08-15,50808,16:05,人文历史,,https://www.bilibili.com/video/BV1jf4y137gM
424,BV1FL4y1e7Cq,【主义主义】超验-生存论（3-3-2-4）——雅思贝尔斯教你如何探测世界本身的版本更新,2021-08-16,30398,41:51,人文历史,,https://www.bilibili.com/video/BV1FL4y1e7Cq
426,BV1vq4y1M7z4,【主义主义】何为永恒轮回、权力意志、爱命运——尼采的同一生存论（3-3-3）,2021-08-17,116527,50:30,人文历史,,https://www.bilibili.com/video/BV1vq4y1M7z4
427,BV1sM4y1L73D,【主义主义】为什么尼采的哲学是错的，但仍是有用的——试图用尼采伦理学的瑕疵掩盖其本体论致命错误的舍斯托夫哲学：斗争的生存论（3-3-3-1）,2021-08-17,125517,50:56,人文历史,,https://www.bilibili.com/video/BV1sM4y1L73D
428,BV17g41157y9,【主义主义】为什么尼采主义的姿态很容易走向反智和庸俗，尼采主义先驱：雅各比——直接生存论（3-3-3-2）,2021-08-19,53728,58:45,人文历史,,https://www.bilibili.com/video/BV17g41157y9
430,BV1Eg41157BA,【主义主义】晚期尼采的观念论历险，永恒轮回的至高真理，中介辩证法的完成，从孤独走向共在——共同体的生存论（3-3-3-3）,2021-08-20,70505,44:30,人文历史,,https://www.bilibili.com/video/BV1Eg41157BA
432,BV15M4y1L7ek,【主义主义番外】不要从生存论（3-3）走向某些错误的终点，要保持思考，构造体系,2021-08-21,55583,19:36,人文历史,,https://www.bilibili.com/video/BV15M4y1L7ek
434,BV16L4y1a76p,【主义主义】Financial Capitalism（3-3-3-4）——不学就会的无意识哲学，永不终止的生存论危机，现代原子化主体的永恒偏斜,2021-08-22,72537,26:00,人文历史,,https://www.bilibili.com/video/BV16L4y1a76p
435,BV1h64y1a7kW,【主义主义】虚构的生存论（3-3-4）——被囚禁在小说里的灵魂，陀思妥耶夫斯基,2021-08-22,61405,37:13,人文历史,,https://www.bilibili.com/video/BV1h64y1a7kW
439,BV1my4y137hf,【主义主义】幸存的兄弟主义（3-3-4-1）——卡拉马佐夫兄弟们的哲学,2021-08-24,56353,36:49,校园学习,,https://www.bilibili.com/video/BV1my4y137hf
440,BV1y64y1e7eY,【主义主义】陀思妥耶夫斯基《宗教大法官》vs卡夫卡《审判》，卡夫卡的哲学——去中心化的科层主义（3-3-4-2）,2021-08-25,93463,54:07,人文历史,,https://www.bilibili.com/video/BV1y64y1e7eY
443,BV1xM4y1V7WH,【主义主义】幸福的幸存主义（3-3-4-3）——加缪的荒谬毫不荒谬，加缪的反抗无比幸福,2021-08-26,106786,52:06,人文历史,,https://www.bilibili.com/video/BV1xM4y1V7WH
444,BV1wQ4y117Zt,【主义主义】诗性永恒主义（3-3-4-4）——博尔赫斯的本体论游戏，文化资本主义的哲学,2021-08-26,60880,53:00,人文历史,,https://www.bilibili.com/video/BV1wQ4y117Zt
445,BV1cf4y1H7Ci,【主义主义】符号学（3-4）——现代哲学的“合”法性来源：将有限性坚持到底的绝对中介，符号,2021-08-27,120010,45:37,人文历史,,https://www.bilibili.com/video/BV1cf4y1H7Ci
446,BV1Hy4y1G7ep,【主义主义】结构主义（3-4-1）——在差异性、共时性原则下，对于现象学和观念论的先验主体性的反动，从意识形态学、本体论分类学走向无意识的符号学结构,2021-08-29,76612,39:04,人文历史,,https://www.bilibili.com/video/BV1Hy4y1G7ep
447,BV11M4y137yS,【主义主义】结构人本主义（3-4-1-1）——列维-斯特劳斯的“魔法”符号学,2021-08-30,42380,61:28,人文历史,,https://www.bilibili.com/video/BV11M4y137yS
448,BV1gM4y157PT,【主义主义】隐喻的象征主义（3-4-1-2）——早期拉康的符号学精神分析：想象性的误认从一开始就预示着隐喻和象征,2021-08-31,50452,66:20,人文历史,,https://www.bilibili.com/video/BV1gM4y157PT
450,BV18L41147nT,【主义主义】分类性的叙事主义（3-4-1-3）——过分精致的文青哲学：从写作的零度走向本体论的丧失，罗兰·巴特的泛叙事学策略,2021-09-01,34294,37:53,人文历史,,https://www.bilibili.com/video/BV18L41147nT
451,BV1m3411i78S,【主义主义】陈述性的话语主义（3-4-1-4）——福柯的谱系学、考古学和微观网络幻视下错误的去中心化路径,2021-09-02,56257,54:08,人文历史,,https://www.bilibili.com/video/BV1m3411i78S
453,BV1SP4y1a7Em,【主义主义复习课】生存论（3-3）——哲人以心灵、生命和尊严进行的本体论冒险,2021-09-03,30892,30:02,人文历史,,https://www.bilibili.com/video/BV1SP4y1a7Em
454,BV1f34y1D7nP,【主义主义】后结构主义和解构主义的差别，真正的后结构主义（3-4-2）——身在曹营心在汉，混入敌营的阿尔都塞,2021-09-04,100006,47:10,人文历史,,https://www.bilibili.com/video/BV1f34y1D7nP
455,BV1DL411475o,【主义主义】无意识的主体主义（3-4-2-1）——结构主义隐蔽的本体论所预设的发生学机制：拉康的无头主体性,2021-09-05,43405,58:08,人文历史,,https://www.bilibili.com/video/BV1DL411475o
456,BV1kf4y1A7br,【主义主义】静止的事件主义（3-4-2-2）——保持忠诚，把位子占住，等待真理事件的降临！巴迪欧的反结构主义策略,2021-09-06,44625,51:10,人文历史,,https://www.bilibili.com/video/BV1kf4y1A7br
457,BV1vL4y1h72E,【主义主义】哲学的墨守成规（3-4-2-3）——齐泽克的理论体系大致是怎样的,2021-09-06,80111,35:42,人文历史,,https://www.bilibili.com/video/BV1vL4y1h72E
459,BV1YQ4y1a79j,【主义主义】一二三代的女性主义分别是怎样的？女性主义的最高形式，克里斯蒂娃同志的理论实践：螺旋的贱斥主义（3-4-2-4）,2021-09-08,111565,41:05,人文历史,,https://www.bilibili.com/video/BV1YQ4y1a79j
461,BV1Gg411c78c,【主义主义】差异的辩证法（3-4-3）——何为延异：德里达反对黑格尔反而使得黑格尔成为了德里达，后现代哲学就是现代哲学,2021-09-09,64958,64:35,人文历史,,https://www.bilibili.com/video/BV1Gg411c78c
462,BV1PL4y1a7UM,【主义主义】游牧的辩证主义（3-4-3-1）——以主奴辩证法再一次理解永恒轮回：为什么德勒兹不够德勒兹主义，为什么《道德的谱系》里的尼采还不是超人,2021-09-10,73526,74:00,人文历史,,https://www.bilibili.com/video/BV1PL4y1a7UM
463,BV1L3411q7rs,【主义主义】圆满的经济学（3-4-3-2）——使劲忽悠土豪的哲学家，尼采主义者的大敌：巴塔耶,2021-09-11,46569,46:05,人文历史,,https://www.bilibili.com/video/BV1L3411q7rs
464,BV1JQ4y1y7Gf,【主义主义】倒错的好客主义（3-4-3-3）——高端玩家克罗索斯基，后现代哲学的顶峰，破解了先验现象学的辩证化机制,2021-09-12,36847,54:03,人文历史,,https://www.bilibili.com/video/BV1JQ4y1y7Gf
466,BV1bq4y1N76d,【主义主义】局部的总体主义（3-4-3-4）——终结永恒轮回，背叛尼采主义的后现代投机分子：利奥塔,2021-09-13,33386,62:00,人文历史,,https://www.bilibili.com/video/BV1bq4y1N76d
